metric_name,timestamp,metric_value
Revenue,3/31/19,7083000000
Revenue,12/31/18,7013000000
Revenue,9/30/18,6962000000
Revenue,6/30/18,7192000000
Revenue,3/31/18,6909000000
Revenue,12/31/17,7013000000
Revenue,9/30/17,6985000000
Revenue,6/30/17,6704000000
Revenue,3/31/17,6535000000
Revenue,12/31/16,6566000000
Revenue,9/30/16,6461000000
Revenue,6/30/16,6254000000
Revenue,3/31/16,6220000000
Revenue,12/31/15,6194000000
Revenue,9/30/15,5900000000
Revenue,6/30/15,5672000000
Revenue,3/31/15,5647000000
Revenue,12/31/14,5813000000
Revenue,9/30/14,5639000000
Revenue,6/30/14,5468000000
Revenue,3/31/14,5370000000
Revenue,12/31/13,5544000000
Revenue,9/30/13,5651000000
Revenue,6/30/13,5638000000
Revenue,3/31/13,5551000000
Revenue,12/31/12,5624000000
Revenue,9/30/12,5782000000
Revenue,6/30/12,5055000000
Revenue,3/31/12,4935000000
Revenue,12/31/11,4050000000
Revenue,9/30/11,4154000000
Revenue,6/30/11,3993000000
Revenue,3/31/11,4082000000
Revenue,12/31/10,3961389000
Revenue,9/30/10,4016000000
Revenue,6/30/10,3904000000
Revenue,3/31/10,4289611000
Revenue,12/31/09,3324849000
Revenue,9/30/09,3603060000
Revenue,6/30/09,3178273000
Revenue,3/31/09,2877085000
Revenue,12/31/08,3170683000
Revenue,9/30/08,3503536000
Revenue,6/30/08,3350072000
Revenue,3/31/08,3868395000
Revenue,12/31/07,3810302000
Revenue,9/30/07,3774136000
Revenue,6/30/07,3566259000
Revenue,3/31/07,3433371000
Revenue,12/31/06,3068339000
Revenue,9/30/06,3055900000
Revenue,6/30/06,2906995000
Revenue,3/31/06,3065128000
Revenue,12/31/05,2702513000
Revenue,9/30/05,2504835000
Revenue,6/30/05,2454499000
Revenue,3/31/05,2376500000
Revenue,12/31/04,2306139000
Revenue,9/30/04,2314759000
Revenue,6/30/04,2107081000
Revenue,3/31/04,2175156000
Revenue,12/31/03,2101592000
Revenue,9/30/03,2067129000
Revenue,6/30/03,1992885000
Revenue,3/31/03,2039407000
Revenue,12/31/02,2133821000
Revenue,9/30/02,2242607000
Revenue,6/30/02,1999163000
Revenue,3/31/02,1810357000
Revenue,12/31/01,1667031000
Revenue,9/30/01,1572011000
Revenue,6/30/01,1443746000
Revenue,3/31/01,1400495000
Revenue,12/31/00,1330640000
Revenue,9/30/00,1209339000
Revenue,6/30/00,1074765000
Revenue,3/31/00,1008557000
Revenue,12/31/99,945208000
Revenue,9/30/99,899086000
Revenue,6/30/99,823244000
Revenue,3/31/99,757423000
Revenue,12/31/98,639658000
Revenue,9/30/98,564009000
Revenue,6/30/98,498677000
Revenue,3/31/98,480721000
Revenue,12/31/97,430626000
Revenue,9/30/97,378087000
Revenue,6/30/97,312301000
Revenue,3/31/97,331254000
Revenue,12/31/96,
Revenue,9/30/96,313370000
Revenue,6/30/96,245052000
